iso,year,mil_delta,log_rgdp_pc,log_gov_pc,log_tfp,tbill,def_gdp,debt_gdp
BEL,1992,-0.4553603170311631,3.1024277819012784,1.9919745564448288,2.3858157275305247,9.359999746084213,-6.648708377541872,129.6
BEL,1993,-0.09636663666047274,3.1015338875603287,1.998156492687798,2.3925448914606116,8.160000294446945,-5.699774748326618,135.2
BEL,1994,-0.05882274331013737,3.127514918686927,1.9938215120665215,2.4205925485790827,5.68000003695488,-4.5404726451312225,133.2
BEL,1995,-0.1325025962891475,3.1757190242951414,2.018187843637097,2.4242761973308147,4.780000075697899,-3.7875613452484496,131.3
BEL,1996,-0.02532371208281403,3.170540526570893,2.0150731081653737,2.4304717880408924,3.2099999487400055,-3.425343463003058,129.0
BEL,1997,-0.061450651654191946,3.198237407540124,2.0203919860820903,2.4538701990132177,3.4299999475479126,-2.367459315219475,124.30000000000001
BEL,1998,-0.040470377630589915,3.224378636658485,2.0355865217382734,2.4579370941967658,3.5500001162290573,-1.6674977646330618,119.19999999999999
BEL,1999,-0.023465122714934283,3.251425908291989,2.0478189655121715,2.4761566161309,2.7799999341368675,-1.5565029343062131,115.40000000000002
BEL,2000,-0.043065321488148456,3.2790909679630955,2.050740306064119,2.485858109984665,4.239999875426292,-0.4072534090554571,109.59999999999998
BEL,2001,-0.0673420801919189,3.2810357207005723,2.070826652583173,2.483660789753851,4.149999842047691,-1.0809389600317765,108.2
BEL,2002,-0.05976197129827443,3.294507303802996,2.0082438063872714,2.486769233001457,3.2099999487400055,-0.2282483394631341,105.4
BEL,2003,-0.0025673062424564908,3.3041638866843677,2.037733128567573,2.4903286616640976,2.2199999541044235,-1.4543689389440282,101.70000000000002
BEL,2004,-0.06459962006390518,3.33502236895386,2.0296827405926616,2.5181026551514862,2.0099999383091927,-0.1778182063203296,97.2
BEL,2005,-0.059953208880953124,3.34733139879065,2.139125420211266,2.529372058992546,2.070000022649765,-2.7576063502098074,95.10000000000001
BEL,2006,-0.04051811280085871,3.3649007123544044,2.0560323673135907,2.5337803240174686,2.8999999165534973,-0.11308592008021322,91.5
BEL,2007,0.041895695607903294,3.3944304722202827,2.094827605957601,2.5508094390566094,3.8899999111890793,-0.8693058300035813,87.30000000000001
BEL,2008,0.12389575219619187,3.365858572710514,2.1125161765809968,2.540366640584843,3.669999912381172,-1.5631627727140887,93.2
BEL,2009,-0.05838448264643059,3.342762861646708,2.1199876425435,2.5224599741738256,0.6599999964237213,-3.8593772097681494,100.2
BEL,2010,-0.07334893173639312,3.356491576189114,2.135044928338002,2.5360793812009508,0.43000001460313797,-3.0274274384534845,100.29999999999998
BEL,2011,-0.04567996767089877,3.343493093322672,2.165038094003013,2.531262980935723,1.0099999606609344,-3.7116190739637465,103.49999999999999
BEL,2012,-0.007471467959730971,3.337568510439564,2.183351944476808,2.5312756743566576,0.13000000035390258,-3.5552016572797327,104.80000000000001
BEL,2013,-0.03250957959480516,3.336797593974011,2.164568026144305,2.533265241377374,0.050000002374872565,-2.579082671553653,105.5
BEL,2014,-0.03824775721242024,3.3534945787993333,2.180512671535717,2.5432714411178097,0.050000002374872565,-2.5237218489146507,107.0
BEL,2015,-0.05444236475905806,3.3757443205568367,2.0882477179358743,2.5547539436547173,-0.2199999988079071,-1.279019539143074,105.2
BEL,2016,-0.01374467444665084,3.383246694332576,2.0904059776663306,2.553531314469132,-0.2637,-2.553146471046426,105.0
BEL,2017,-0.011248089903668324,3.3918296124327303,2.0722385997478185,2.5509217683105607,-0.3291,-1.2616784630940379,102.0
BEL,2018,0.005605276007715321,3.3986966943086165,2.0725584240812815,2.551819212985127,-0.3221,-0.2252101570475919,99.9
BEL,2019,-0.00543752573273093,3.4154074362977687,2.09136991274426,2.5582607372512474,-0.3563,-1.9480920261240355,97.7
BEL,2020,0.1189230159983653,3.351115672609076,2.193029491031985,2.5569298261424773,-0.4252000000000001,-7.227296604215197,112.79999999999998
CHE,1958,0.1570021002766966,2.851427635460687,0.22015982655799385,2.047080001319209,2.8483329340815544,0.49785293977650275,49.22768133419797
CHE,1959,-0.27761710854730426,2.9416763589177,0.15320614391331058,2.103439025181143,2.7416670694947243,0.5907880354092774,46.64656444234889
CHE,1960,-0.3693664157896013,3.0257507848099374,0.1653920720576932,2.145241792640539,2.710000053048134,1.5737207979308394,40.640734329333945
CHE,1961,0.12762670820531818,3.083282881245251,0.3475228356996334,2.1788114818888342,2.7283329516649246,0.2756857551974222,38.59795074320729
CHE,1962,0.09849049810990795,3.1084548204339493,0.3978668148378663,2.1842424106921094,2.7516670525074005,0.7811791447271142,36.83375677504981
CHE,1963,-0.05123088562082012,3.1561279500217183,0.4453259473153632,2.2050482983568664,2.784167043864727,0.20533358612858443,36.520055474721694
CHE,1964,0.019519015369574788,3.177592684004253,0.5717219909342447,2.228792010207958,2.970832958817482,0.6391681257188495,35.647060001251205
CHE,1965,-0.06789644657692007,3.2058079766656356,0.5417103794731467,2.2479921561677765,3.1883329153060913,0.044881234405890834,35.26022682602431
CHE,1966,0.06283410860571248,3.2239225466815378,0.630268275731336,2.2602361411397056,3.322499990463257,0.006707959383096458,35.472414213285745
CHE,1967,-0.14841951428470246,3.2389871236245575,0.6127689193626561,2.273485888445135,3.5716671496629715,-0.19190938957067966,35.80000615643647
CHE,1968,-0.20585627317542787,3.2840607762835403,0.6706821489875457,2.2922929585224696,3.604166954755783,0.17881969305120404,35.57644802278791
CHE,1969,0.021406133502324565,3.3543710560181004,0.726953403374633,2.3236596226106725,6.25,0.027759624557850568,33.62980232360563
CHE,1970,-0.0945762173820146,3.437543368024502,0.7748562280531109,2.362870003827183,6.7500002682209015,0.18866333306902533,31.3485689417964
CHE,1971,-0.05082066631492088,3.4867947591311337,0.842518586422604,2.3812395349505877,1.1500000022351742,-0.23269357205698726,31.059874572320695
CHE,1972,-0.08440069710807552,3.521501911236022,0.9115058226252553,2.397504881982381,2.6900000870227814,-0.15438330505735115,30.6692751431558
CHE,1973,-0.1066775623802374,3.512864325328516,0.9389288668466992,2.4164508999637606,3.6400001496076584,-0.5102614413886316,31.429639061459007
CHE,1974,0.014525923977953825,3.4100271142231593,0.9585557395946279,2.4288406005493512,5.9700001031160355,-0.6863442901490416,35.453353300177625
CHE,1975,0.024778251860012812,3.36679024865288,0.9393191175982799,2.379662873989263,2.749999985098839,-0.8530837033297303,39.42409531301706
